track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
Lookin' for LoveOld Dominion,100,,,,,210120,9/6/24 0:00,37,Odies But Goodies,Old Dominion,Lookin' for Love
Nonsense (with Coi Leray) - RemixSabrina Carpenter,,100,,,Coi Leray,175648,3/23/23 0:00,38,,Sabrina Carpenter,Nonsense (with Coi Leray) - Remix
You've Got The LoveFlorence + The Machine,,,100,,,168666,1/1/09 0:00,60,Lungs (Deluxe Edition),Florence + The Machine,You've Got The Love
Soak Up The SunSheryl Crow,,,,100,,292306,4/8/02 0:00,57,"C'Mon, C'Mon",Sheryl Crow,Soak Up The Sun
Edge of the EarthThe Beaches,99,,,,,160244,5/5/23 0:00,57,Blame My Ex,The Beaches,Edge of the Earth
White HorseChris Stapleton,42,99,,,,267893,7/21/23 0:00,72,Higher,Chris Stapleton,White Horse
Us Against the WorldPlay,,,99,,,222000,1/7/02 0:00,41,Us Against The World,Play,Us Against the World
The Black DogTaylor Swift,,,,99,,238857,4/19/24 0:00,68,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,The Black Dog
ReligiouslyBailey Zimmerman,98,,,,,178723,1/11/23 0:00,73,Religiously. The Album.,Bailey Zimmerman,Religiously
"Check Yes, JulietWe The Kings",,98,,,,220146,10/7/07 0:00,66,We The Kings,We The Kings,"Check Yes, Juliet"
I Can See You (Taylor’s Version) (From The Vault)Taylor Swift,,,98,,,273186,7/7/23 0:00,67,Speak Now (Taylor's Version),Taylor Swift,I Can See You (Taylor’s Version) (From The Vault)
Bad BloodTrousdale,,,,98,,165764,3/31/23 0:00,32,Out Of My Mind,Trousdale,Bad Blood
EspressoSabrina Carpenter,97,,33,22,,175459,4/11/24 0:00,84,Short n' Sweet,Sabrina Carpenter,Espresso
J'me tireGIMS,,97,,,,249866,12/2/13 0:00,63,Subliminal (La face cachée),GIMS,J'me tire
Could You Be LovedBob Marley & The Wailers,,,97,,,237000,6/10/80 0:00,77,Uprising,Bob Marley & The Wailers,Could You Be Loved
All My LoveNoah Kahan,,,,97,,251510,10/14/22 0:00,73,Stick Season,Noah Kahan,All My Love
Dial Drunk (with Post Malone)Noah Kahan,96,,,,Post Malone,213817,7/18/23 0:00,74,Stick Season (Forever),Noah Kahan,Dial Drunk (with Post Malone)
ClementineYung Gravy,,96,,,,164410,5/10/24 0:00,40,Serving Country,Yung Gravy,Clementine
LandslideThe Chicks,,,96,,,230549,8/27/02 0:00,60,Home,The Chicks,Landslide
Ex-WivesSIX,,,,96,,350218,8/31/18 0:00,58,Six: The Musical (Studio Cast Recording),SIX,Ex-Wives
Hits DifferentTaylor Swift,95,,,,,234466,5/26/23 0:00,67,Midnights (The Til Dawn Edition),Taylor Swift,Hits Different
Powerful WomenPitbull,,95,,,Dolly Parton,165619,2/15/24 0:00,51,Trackhouse (Daytona 500 Edition),Pitbull,Powerful Women
If It Makes You HappySheryl Crow,,,95,,,323400,1/1/96 0:00,60,Sheryl Crow,Sheryl Crow,If It Makes You Happy
Don’t SmileSabrina Carpenter,,,,95,,206295,8/23/24 0:00,72,Short n' Sweet,Sabrina Carpenter,Don’t Smile
Snap Out Of ItArctic Monkeys,94,,,,,193030,9/9/13 0:00,73,AM,Arctic Monkeys,Snap Out Of It
RosesThe Chainsmokers,,94,,,ROZES,226738,6/16/15 0:00,73,,The Chainsmokers,Roses
Do You Believe in Magic?The Lovin' Spoonful,,,94,,,125826,11/1/65 0:00,60,Do you Believe In Magic,The Lovin' Spoonful,Do You Believe in Magic?
Silver LiningMt. Joy,,,,94,,199827,11/2/17 0:00,71,Mt. Joy,Mt. Joy,Silver Lining
The Craving (Jenna's version)Twenty One Pilots,93,,,,,174133,5/24/24 0:00,58,Clancy,Twenty One Pilots,The Craving (Jenna's version)
Superman (It's Not Easy)Five For Fighting,,93,,,,221693,9/26/00 0:00,62,America Town,Five For Fighting,Superman (It's Not Easy)
When Will I See You AgainThe Three Degrees,,,93,,,178746,1/1/73 0:00,55,The Three Degrees,The Three Degrees,When Will I See You Again
Baby Now That I've Found You - MonoThe Foundations,,,,93,,158266,1/1/67 0:00,52,Baby Now That I've Found You,The Foundations,Baby Now That I've Found You - Mono
SaturnSZA,92,,,,,186191,2/22/24 0:00,78,SOS Deluxe: LANA,SZA,Saturn
Don't Dream It's OverCrowded House,,92,,,,236933,1/1/86 0:00,76,Crowded House,Crowded House,Don't Dream It's Over
Bad Time - Remastered 2002Grand Funk Railroad,,,92,,,175360,12/1/74 0:00,42,All The Girls In The World Beware!!! (Remastered),Grand Funk Railroad,Bad Time - Remastered 2002
T-Shirt WeatherCirca Waves,,,,92,,192120,2/23/15 0:00,57,Young Chasers (Deluxe),Circa Waves,T-Shirt Weather
Me To MeMorgan Wallen,91,,,,,138958,3/3/23 0:00,58,One Thing At A Time,Morgan Wallen,Me To Me
My Own Worst EnemyLit,,91,,,,169026,2/22/99 0:00,69,A Place In The Sun,Lit,My Own Worst Enemy
After MidnightChappell Roan,,,91,,,204857,9/21/23 0:00,70,The Rise and Fall of a Midwest Princess,Chappell Roan,After Midnight
Smart IowaTrousdale,,,,91,,198671,7/21/23 0:00,25,Out Of My Mind,Trousdale,Smart Iowa
Ain’t How It EndsPost Malone,90,,,,,201961,8/16/24 0:00,56,F-1 Trillion: Long Bed,Post Malone,Ain’t How It Ends
OvertimeZach Bryan,,90,,,,190946,8/25/23 0:00,59,Zach Bryan,Zach Bryan,Overtime
Valerie (feat. Amy Winehouse) - Version RevisitedMark Ronson,,,90,,Amy Winehouse,219413,4/16/07 0:00,76,Version,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited
Real Love BabyFather John Misty,,,,90,,189293,7/26/16 0:00,73,,Father John Misty,Real Love Baby
Deeper WellKacey Musgraves,89,,,,,232133,3/15/24 0:00,61,Deeper Well,Kacey Musgraves,Deeper Well
Yeah! (feat. Lil Jon & Ludacris)USHER,,89,,,Lil Jon,250373,3/23/04 0:00,80,Confessions (Expanded Edition),USHER,Yeah! (feat. Lil Jon & Ludacris)
Ghost TownKanye West,,,89,,PARTYNEXTDOOR,271386,6/1/18 0:00,74,ye,Kanye West,Ghost Town
Cigarette DaydreamsCage The Elephant,,,69,89,,208760,10/8/13 0:00,75,Melophobia,Cage The Elephant,Cigarette Daydreams
SaraDarius Rucker,88,,,,,219866,10/6/23 0:00,24,Carolyn's Boy,Darius Rucker,Sara
screenHARDY,,88,,,,227951,1/20/23 0:00,41,the mockingbird & THE CROW,HARDY,screen
Forget You (feat. Gwyneth Paltrow)Glee Cast,,,88,,Gwyneth Paltrow,221360,11/26/10 0:00,44,"Glee: The Music, Volume 4",Glee Cast,Forget You (feat. Gwyneth Paltrow)
Slow BurnKacey Musgraves,,,,88,,246133,3/30/18 0:00,63,Golden Hour,Kacey Musgraves,Slow Burn
Backseat DriverKane Brown,87,,,,,228066,10/11/24 0:00,63,The High Road,Kane Brown,Backseat Driver
MontanaPierce Edens,,87,,,,309734,6/29/12 0:00,31,Pierce Edens,Pierce Edens,Montana
Keep the Customer SatisfiedSimon & Garfunkel,,,87,,,155373,1/26/70 0:00,42,Bridge Over Troubled Water,Simon & Garfunkel,Keep the Customer Satisfied
Close To YouGracie Abrams,,,,87,,225973,6/20/24 0:00,79,The Secret of Us,Gracie Abrams,Close To You
