track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
Lookin' for LoveOld Dominion,100,,,,,210120.0,2024-09-06 00:00:00,41.0,Odies But Goodies,Old Dominion,Lookin' for Love,1VmR7aU6sK05IrpiPpyXRB
Nonsense (with Coi Leray) - RemixSabrina Carpenter,,100,,,Coi Leray,175648.0,2023-03-23 00:00:00,42.0,,Sabrina Carpenter,Nonsense (with Coi Leray) - Remix,0DD4vkP9qDiej99eUCG4jC
You've Got The LoveFlorence + The Machine,,,100,,,168666.0,2009-01-01 00:00:00,65.0,Lungs (Deluxe Edition),Florence + The Machine,You've Got The Love,6u9RqxALwkjJ1ukB1y8vuP
Soak Up The SunSheryl Crow,,,,100,,292306.0,2002-04-08 00:00:00,62.0,"C'Mon, C'Mon",Sheryl Crow,Soak Up The Sun,215JYyyUnrJ98NK3KEwu6d
Edge of the EarthThe Beaches,99,,,,,160244.0,2023-05-05 00:00:00,61.0,Blame My Ex,The Beaches,Edge of the Earth,4Zy6m1QjUivLl8Zt7E8uxr
White HorseChris Stapleton,42,99,,,,267893.0,2023-07-21 00:00:00,76.0,Higher,Chris Stapleton,White Horse,1DgtQlVNotingln271ZKCx
Us Against the WorldPlay,,,99,,,222000.0,2002-01-07 00:00:00,45.0,Us Against The World,Play,Us Against the World,7ID5MLSB71awNzjI7jyojG
The Black DogTaylor Swift,,,,99,,238857.0,2024-04-19 00:00:00,72.0,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,The Black Dog,62E2nR0od0M5HYxuYLaDz7
ReligiouslyBailey Zimmerman,98,,,,,178723.0,2023-01-11 00:00:00,77.0,Religiously. The Album.,Bailey Zimmerman,Religiously,0bILU0UiNDmA5Ff6whhb2R
"Check Yes, JulietWe The Kings",,98,,,,220146.0,2007-10-07 00:00:00,70.0,We The Kings,We The Kings,"Check Yes, Juliet",7N2PNxzZXxCdAHiAfsklhT
I Can See You (Taylor’s Version) (From The Vault)Taylor Swift,,,98,,,273186.0,2023-07-07 00:00:00,71.0,Speak Now (Taylor's Version),Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v
Bad BloodTrousdale,,,,98,,165764.0,2023-03-31 00:00:00,36.0,Out Of My Mind,Trousdale,Bad Blood,4qIYVoGM0KoG9kB4evd5h1
EspressoSabrina Carpenter,97,,33,22,,175459.0,2024-04-11 00:00:00,88.0,Short n' Sweet,Sabrina Carpenter,Espresso,2HRqTpkrJO5ggZyyK6NPWz
J'me tireGIMS,,97,,,,249866.0,2013-12-02 00:00:00,67.0,Subliminal (La face cachée),GIMS,J'me tire,4w47YE9rjhmZUdtZjSCb82
Could You Be LovedBob Marley & The Wailers,,,97,,,237000.0,1980-06-10 00:00:00,81.0,Uprising,Bob Marley & The Wailers,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC
All My LoveNoah Kahan,,,,97,,251510.0,2022-10-14 00:00:00,77.0,Stick Season,Noah Kahan,All My Love,7ByxizhA4GgEf7Sxomxhze
Dial Drunk (with Post Malone)Noah Kahan,96,,,,Post Malone,213817.0,2023-07-18 00:00:00,78.0,Stick Season (Forever),Noah Kahan,Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK
ClementineYung Gravy,,96,,,,164410.0,2024-05-10 00:00:00,44.0,Serving Country,Yung Gravy,Clementine,06ZVdd9hNVlNv9fAd5NUok
LandslideThe Chicks,,,96,,,230549.0,2002-08-27 00:00:00,65.0,Home,The Chicks,Landslide,5hviCr3lgg6LY6noG6DPKs
Ex-WivesSIX,,,,96,,350218.0,2018-08-31 00:00:00,62.0,Six: The Musical (Studio Cast Recording),SIX,Ex-Wives,03GBiorLGTk7T4IScIl4jj
Hits DifferentTaylor Swift,95,,,,,234466.0,2023-05-26 00:00:00,71.0,Midnights (The Til Dawn Edition),Taylor Swift,Hits Different,3xYJScVfxByb61dYHTwiby
Powerful WomenPitbull,,95,,,Dolly Parton,165619.0,2024-02-15 00:00:00,55.0,Trackhouse (Daytona 500 Edition),Pitbull,Powerful Women,043trFU53vB0CBmFszufZd
If It Makes You HappySheryl Crow,,,95,,,323400.0,1996-01-01 00:00:00,64.0,Sheryl Crow,Sheryl Crow,If It Makes You Happy,5XrfFo0JFOnWD9ZMNXGkQh
Don’t SmileSabrina Carpenter,,,,95,,206295.0,2024-08-23 00:00:00,75.0,Short n' Sweet,Sabrina Carpenter,Don’t Smile,09LrGvT9KsACH66RHYMDyR
Snap Out Of ItArctic Monkeys,94,,,,,193030.0,2013-09-09 00:00:00,77.0,AM,Arctic Monkeys,Snap Out Of It,0NdTUS4UiNYCNn5FgVqKQY
RosesThe Chainsmokers,,94,,,ROZES,226738.0,2015-06-16 00:00:00,77.0,,The Chainsmokers,Roses,3vv9phIu6Y1vX3jcqaGz5Z
Do You Believe in Magic?The Lovin' Spoonful,,,94,,,125826.0,1965-11-01 00:00:00,64.0,Do you Believe In Magic,The Lovin' Spoonful,Do You Believe in Magic?,1udKn1oNKYQSQ9OmiIWCMu
Silver LiningMt. Joy,,,,94,,199827.0,2017-11-02 00:00:00,75.0,Mt. Joy,Mt. Joy,Silver Lining,13xVnZKZDEGbmXkzBFpJDD
The Craving (Jenna's version)Twenty One Pilots,93,,,,,174133.0,2024-05-24 00:00:00,62.0,Clancy,Twenty One Pilots,The Craving (Jenna's version),4hfqe20vqkuRv1RDsA1LbQ
Superman (It's Not Easy)Five For Fighting,,93,,,,221693.0,2000-09-26 00:00:00,66.0,America Town,Five For Fighting,Superman (It's Not Easy),3TwtrR1yNLY1PMPsrGQpOp
When Will I See You AgainThe Three Degrees,,,93,,,178746.0,1973-01-01 00:00:00,59.0,The Three Degrees,The Three Degrees,When Will I See You Again,02srSkeu2pzybuVr2B9TJm
Baby Now That I've Found You - MonoThe Foundations,,,,93,,158266.0,1967-01-01 00:00:00,56.0,Baby Now That I've Found You,The Foundations,Baby Now That I've Found You - Mono,6mQvaOgN76Q7qcwmwuEP2W
